"FIPS","TRACT_ID","RUCA1","FIPS11"
1001,1001020100,1,"01001020100"
1001,1001020200,1,"01001020200"
1001,1001020300,1,"01001020300"
1001,1001020400,1,"01001020400"
1001,1001020500,1,"01001020500"
1001,1001020600,1,"01001020600"
1001,1001020700,1,"01001020700"
1001,1001020801,2,"01001020801"
1001,1001020802,2,"01001020802"
1001,1001020900,2,"01001020900"
1001,1001021000,2,"01001021000"
1001,1001021100,2,"01001021100"
1003,1003010100,9,"01003010100"
1003,1003010200,8,"01003010200"
1003,1003010300,3,"01003010300"
1003,1003010400,3,"01003010400"
1003,1003010500,7,"01003010500"
1003,1003010600,7,"01003010600"
1003,1003010701,1,"01003010701"
1003,1003010703,1,"01003010703"
1003,1003010704,1,"01003010704"
1003,1003010705,1,"01003010705"
1003,1003010800,1,"01003010800"
1003,1003010903,1,"01003010903"
1003,1003010904,3,"01003010904"
1003,1003010905,3,"01003010905"
1003,1003010906,3,"01003010906"
1003,1003011000,5,"01003011000"
1003,1003011101,1,"01003011101"
1003,1003011102,2,"01003011102"
1003,1003011201,1,"01003011201"
1003,1003011202,1,"01003011202"
1003,1003011300,2,"01003011300"
1003,1003011401,5,"01003011401"
1003,1003011403,4,"01003011403"
1003,1003011405,1,"01003011405"
1003,1003011406,4,"01003011406"
1003,1003011407,4,"01003011407"
1003,1003011408,5,"01003011408"
1003,1003011501,4,"01003011501"
1003,1003011502,4,"01003011502"
1003,1003011601,5,"01003011601"
1003,1003011602,1,"01003011602"
1003,1003990000,99,"01003990000"
1005,1005950100,7,"01005950100"
1005,1005950200,8,"01005950200"
1005,1005950300,10,"01005950300"
1005,1005950400,10,"01005950400"
1005,1005950500,8,"01005950500"
1005,1005950600,7,"01005950600"
1005,1005950700,7,"01005950700"
1005,1005950800,7,"01005950800"
1005,1005950900,7,"01005950900"
1007,1007010001,2,"01007010001"
1007,1007010002,2,"01007010002"
1007,1007010003,2,"01007010003"
1007,1007010004,2,"01007010004"
1009,1009050101,7,"01009050101"
1009,1009050102,7,"01009050102"
1009,1009050200,2,"01009050200"
1009,1009050300,9,"01009050300"
1009,1009050400,10,"01009050400"
1009,1009050500,3,"01009050500"
1009,1009050601,2,"01009050601"
1009,1009050602,2,"01009050602"
1009,1009050700,2,"01009050700"
1011,1011952100,2,"01011952100"
1011,1011952200,2,"01011952200"
1011,1011952500,2,"01011952500"
1013,1013952700,7,"01013952700"
1013,1013952800,7,"01013952800"
1013,1013952900,10,"01013952900"
1013,1013953000,8,"01013953000"
1013,1013953100,7,"01013953100"
1013,1013953200,8,"01013953200"
1013,1013953300,2,"01013953300"
1013,1013953400,10,"01013953400"
1013,1013953500,2,"01013953500"
1015,1015000200,1,"01015000200"
1015,1015000300,1,"01015000300"
1015,1015000400,1,"01015000400"
1015,1015000500,1,"01015000500"
1015,1015000600,1,"01015000600"
1015,1015000700,1,"01015000700"
1015,1015000800,1,"01015000800"
1015,1015000900,1,"01015000900"
1015,1015001000,1,"01015001000"
1015,1015001100,1,"01015001100"
1015,1015001201,1,"01015001201"
1015,1015001202,1,"01015001202"
1015,1015001300,1,"01015001300"
1015,1015001400,1,"01015001400"
1015,1015001500,1,"01015001500"
1015,1015001600,1,"01015001600"
1015,1015001700,1,"01015001700"
1015,1015001800,1,"01015001800"
1015,1015002000,2,"01015002000"
1015,1015002101,1,"01015002101"
1015,1015002102,1,"01015002102"
1015,1015002103,1,"01015002103"
1015,1015002200,2,"01015002200"
1015,1015002300,2,"01015002300"
1015,1015002400,2,"01015002400"
1015,1015002501,2,"01015002501"
1015,1015002502,2,"01015002502"
1015,1015002600,2,"01015002600"
1015,1015981901,2,"01015981901"
1015,1015981902,2,"01015981902"
1015,1015981903,10,"01015981903"
1017,1017953800,6,"01017953800"
1017,1017953900,4,"01017953900"
1017,1017954000,2,"01017954000"
1017,1017954200,5,"01017954200"
1017,1017954300,4,"01017954300"
1017,1017954400,4,"01017954400"
1017,1017954500,4,"01017954500"
1017,1017954600,4,"01017954600"
1017,1017954700,4,"01017954700"
1019,1019955701,2,"01019955701"
1019,1019955702,3,"01019955702"
1019,1019955800,2,"01019955800"
1019,1019955900,3,"01019955900"
1019,1019956000,3,"01019956000"
1019,1019956100,2,"01019956100"
1021,1021060101,7,"01021060101"
1021,1021060102,7,"01021060102"
1021,1021060200,8,"01021060200"
1021,1021060300,2,"01021060300"
1021,1021060401,2,"01021060401"
1021,1021060402,2,"01021060402"
1021,1021060500,10,"01021060500"
1021,1021060600,9,"01021060600"
1021,1021060700,8,"01021060700"
1023,1023956700,5,"01023956700"
1023,1023956800,10,"01023956800"
1023,1023956900,10,"01023956900"
1023,1023957000,10,"01023957000"
1025,1025957500,8,"01025957500"
1025,1025957601,10,"01025957601"
1025,1025957602,7,"01025957602"
1025,1025957700,5,"01025957700"
1025,1025957800,10,"01025957800"
1025,1025957901,2,"01025957901"
1025,1025957902,7,"01025957902"
1025,1025958001,10,"01025958001"
1025,1025958002,10,"01025958002"
1027,1027958900,2,"01027958900"
1027,1027959000,2,"01027959000"
1027,1027959100,10,"01027959100"
1027,1027959200,5,"01027959200"
1029,1029959500,2,"01029959500"
1029,1029959600,2,"01029959600"
1029,1029959700,2,"01029959700"
